year;competition_name;event_name;distance;time_limit;main_measurement_unit;second_measurement_unit;min_weight;max_weight;weights;deadlift;attempts;max_lifts;lifts_num;implements_num;implements
2020;Arnold Strongman Classic;Hercules Hold;;;s;;;;;;;;;;
2020;Arnold Strongman Classic;Atlas Stones;;90.0;s;reps;100.0;160.0;[100.0, 160.0];;;5;;5.0;
2020;Arnold Strongman Classic;Rock Press;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Power Stairs;;120.0;s;stairs;275.0;275.0;[275.0];;;18;;1;['']
2020;Arnold Strongman Classic;Arm Over Arm Pull;;;s;;;;;;;;;;
2020;Arnold Strongman Classic;Atlas Stones;;;s;reps;120.0;180.0;[120.0, 180.0];;;5.0;;5.0;
2020;Arnold Strongman Classic;Rock Press;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Hercules Hold;;;s;;;;;;;;;;
2020;Arnold Strongman Classic;Weight Throw;;;m;;25.0;25.0;[25.0];;;1;;1;
2020;Arnold Strongman Classic;Medley;;;s;;;;;;;;;;[]
2020;Arnold Strongman Classic;Truck Pull;20.0;;s;;10000.0;10000.0;[10000.0];;;;;;
2020;Arnold Strongman Classic;Conan's Wheel;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Farmer's Walk;60.0;;s;m;132.0;132.0;[132.0];;;;;;
2020;Arnold Strongman Classic;Deadlift;;60.0;reps;;300.0;300.0;[300.0];;;;;;
2020;Arnold Strongman Classic;Loading Race;;75.0;s;reps;100.0;100.0;[100.0];;;4;;1;
2020;Arnold Strongman Classic;Crucifix Hold;;;s;;25.0;25.0;[25.0];;;;;;
2020;Arnold Strongman Classic;Wheelbarrow Carry;20.0;;s;;1100.0;1100.0;[1100.0];;;;;;
2020;Arnold Strongman Classic;Tire Flip;;;s;;400.0;400.0;[400.0];;;;;;
2020;Arnold Strongman Classic;Block Carry;;;m;;180.0;180.0;[180.0];;;;;;
2020;Arnold Strongman Classic;Viking Press;;;reps;;125.0;125.0;[125.0];;;;;;
2020;Arnold Strongman Classic;Conan's Wheel;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Medley;;;s;;120.0;200.0;[120.0, 200.0];;;4.0;;2;['sacks', 'duck walk']
2020;Arnold Strongman Classic;Power Stairs;;;s;;250.0;250.0;[250.0];;;5.0;;1;['']
2020;Arnold Strongman Classic;Power Stairs;;;s;stairs;280.0;280.0;[280.0];;;5.0;;1;['']
2020;Arnold Strongman Classic;Conan's Wheel;;;;;;;;;;;;;
2020;Arnold Strongman Classic;Atlas Stones;;;s;reps;120.0;160.0;[120.0, 160.0];;;5;;5.0;
2020;Arnold Strongman Classic;Viking Press;;;reps;;;;;;;;;;
2020;Arnold Strongman Classic;Farmer's Walk;25.0;;s;m;175.0;175.0;[175.0];;;;;;
2020;Arnold Strongman Classic;Tire Flip;;;s;;400.0;400.0;[400.0];;;;;;
2020;Arnold Strongman Classic;Hercules Hold;;;s;;;;;;;;;;
2020;Arnold Strongman Classic;Farmer's Walk;;;s;m;170.0;170.0;[170.0];;;;;;
2020;Arnold Strongman Classic;Truck Pull;;;s;;;;;;;;;;
2020;Arnold Strongman Classic;Super Yoke;;;s;m;;;;;;;;;
2020;Arnold Strongman Classic;Medley;;;s;;;;;;;;;;
2020;Arnold Strongman Classic;Deadlift;;;reps;;;;;;;;;;
